node_count,copies,trials,delivery_rate,delay_mean,delay_std,overhead_mean,overhead_std,data_tx_mean,data_tx_std
8,2,20,1.0,12.751975913444147,9.954460672617149,39.3,28.20059723145108,1.9,0.30779350562554625
8,4,20,1.0,6.930538128888875,5.099472119559678,24.55,15.80631119787949,3.0,0.9733285267845752
8,8,20,1.0,9.100745697353556,5.498995140516598,28.15,14.875890066250083,3.75,1.943274501832843
12,2,20,0.95,22.06610459455063,16.086126699027812,71.55,48.40234335344998,1.9,0.4472135954999579
12,4,20,1.0,14.076362900075921,12.681204491252403,45.55,37.31441798385289,2.9,1.1192102478745307
12,8,20,1.0,12.23109222032552,8.174087293989215,41.4,24.31027506393563,4.35,1.954078056944394
16,2,20,0.85,23.81275490056408,15.279363865152423,90.5,60.56271216898363,1.75,0.4442616583193193
16,4,20,1.0,20.281838163576033,10.94608336282815,66.1,32.21621036879285,3.5,0.9459053029269173
16,8,20,1.0,21.44645051170916,11.260663281732642,71.25,34.3034063062333,5.35,2.058998223459779
20,2,20,0.6,24.01843243693425,18.158576606343946,119.9,72.25386531274005,1.5,0.512989176042577
20,4,20,0.75,27.147111774396866,19.140146591603713,109.9,68.47965506553561,3.3,0.8645047258706176
20,8,20,0.9,29.940665907453756,17.716429445772743,104.15,55.67790358273577,5.8,2.3530495331087184
