node_count,copies,copies_label,loss,trials,delivery_rate,delay_mean,delay_std,data_tx_mean,data_tx_std,control_tx_mean,control_tx_std
16,1,1,0.0,50,0.56,28.193140213756667,15.422420503055715,0.56,0.501426536422407,127.56,61.23729689178193
16,1,1,0.05,50,0.44,26.707611073528962,19.815747832971176,0.46,0.5034574339058885,133.82,64.14355392558228
16,1,1,0.1,50,0.26,20.91120999264082,16.36936079713121,0.34,0.5194188275056526,146.84,58.916530371538414
16,1,1,0.15,50,0.42,26.91627081745268,19.267634443867262,0.48,0.5046720495044484,140.92,64.73268108150627
16,4,4,0.0,50,0.9,22.389506164934932,15.423214908912346,3.36,1.0644534862969806,77.68,57.327003289221814
16,4,4,0.05,50,0.86,24.62698839741415,13.710397105007077,3.56,0.7602362683228612,88.26,54.53095357647053
16,4,4,0.1,50,0.82,29.134872398106975,14.866218347076524,3.38,0.8780776777502463,104.28,55.288497530532275
16,4,4,0.15,50,0.82,26.180360004488183,16.9831137487761,3.42,1.031938931906183,98.68,64.89314293513607
16,16,N,0.0,50,1.0,19.74157705519606,12.227660277570658,6.7,3.400180067260544,59.52,36.09807502358212
16,16,N,0.05,50,0.98,23.01979258593774,13.480062294555665,7.42,3.2831667142363314,70.96,42.39510945996542
16,16,N,0.1,50,0.96,23.87991456790117,12.39346334911012,7.62,3.4100092764252303,73.84,41.00839137622087
16,16,N,0.15,50,0.88,24.5757370723716,15.373543598787647,7.18,3.3787450876541336,85.02,54.235875618280865
